operationtime,airline,flightnum,departureairport,arrivalairport,terminal,departure/arrival,origindate,codecontext,status_text,date,hour,weekday,is_weekend,route,status_group
2022-03-29 08:45:00,AH,6176,ALG,AAE,1,Departure,2022-03-29,OFB,Departed,2022-03-29,8,1,False,ALG-AAE,Departed
2022-03-29 12:00:00,AH,6150,ALG,TIN,1,Departure,2022-03-29,OFB,Departed,2022-03-29,12,1,False,ALG-TIN,Departed
2022-03-29 11:00:00,AH,6148,ALG,CBH,1,Departure,2022-03-29,OFB,Departed,2022-03-29,11,1,False,ALG-CBH,Departed
2022-03-29 11:30:00,AH,6056,ALG,GJL,1,Departure,2022-03-29,OFB,Departed,2022-03-29,11,1,False,ALG-GJL,Departed
2022-03-29 14:00:00,AH,6476,ALG,EBH,1,Departure,2022-03-29,DX,Cancelled,2022-03-29,14,1,False,ALG-EBH,Cancelled
2022-03-29 11:00:00,AH,6252,ALG,ELU,1,Departure,2022-03-29,OFB,Departed,2022-03-29,11,1,False,ALG-ELU,Departed
2022-03-29 08:30:00,AH,6470,ALG,GHA,1,Departure,2022-03-29,OFB,Departed,2022-03-29,8,1,False,ALG-GHA,Departed
2022-03-29 17:20:00,AH,6244,ALG,IAM,1,Departure,2022-03-29,OFB,Departed,2022-03-29,17,1,False,ALG-IAM,Departed
2022-03-29 10:15:00,AH,6236,ALG,GHA,1,Departure,2022-03-29,OFB,Departed,2022-03-29,10,1,False,ALG-GHA,Departed
2022-03-29 19:45:00,AH,6106,ALG,ORN,1,Departure,2022-03-29,OFB,Departed,2022-03-29,19,1,False,ALG-ORN,Departed
2022-03-29 13:00:00,AH,6408,ALG,ELG,1,Departure,2022-03-29,OFB,Departed,2022-03-29,13,1,False,ALG-ELG,Departed
2022-03-29 08:00:00,AH,6256,ALG,CZL,1,Departure,2022-03-29,OFB,Departed,2022-03-29,8,1,False,ALG-CZL,Departed
2022-03-29 14:45:00,AH,6184,ALG,ORN,1,Departure,2022-03-29,OFB,Departed,2022-03-29,14,1,False,ALG-ORN,Departed
2022-03-29 11:30:00,AH,6070,ALG,LOO,1,Departure,2022-03-29,OFB,Departed,2022-03-29,11,1,False,ALG-LOO,Departed
2022-03-29 12:25:00,AH,6050,ALG,BJA,1,Departure,2022-03-29,OFB,Departed,2022-03-29,12,1,False,ALG-BJA,Departed
2022-03-29 16:00:00,AH,2025,FCO,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,16,1,False,FCO-ALG,Arrived
2022-03-29 22:43:00,AH,2015,BCN,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,22,1,False,BCN-ALG,Arrived
2022-03-29 14:30:00,AH,6071,LOO,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,LOO-ALG,Arrived
2022-03-29 17:10:00,SF,1320,ALG,IAM,1,Departure,2022-03-29,OFB,Departed,2022-03-29,17,1,False,ALG-IAM,Departed
2022-03-29 11:40:00,AH,6041,BSK,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,11,1,False,BSK-ALG,Arrived
2022-03-29 09:45:00,AH,6027,CZL,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,9,1,False,CZL-ALG,Arrived
2022-03-29 11:19:00,AH,4001,TUN,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,11,1,False,TUN-ALG,Arrived
2022-03-29 14:30:00,SF,1960,ALG,ORN,1,Departure,2022-03-29,OFB,Departed,2022-03-29,14,1,False,ALG-ORN,Departed
2022-03-29 18:12:00,TO,726,ORY,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,18,1,False,ORY-ALG,Arrived
2022-03-29 19:40:00,TO,7265,ALG,ORY,4,Departure,2022-03-29,OFB,Departed,2022-03-29,19,1,False,ALG-ORY,Departed
2022-03-29 15:08:00,SF,1991,ORN,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,15,1,False,ORN-ALG,Arrived
2022-03-29 17:40:00,AH,6409,ELG,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,17,1,False,ELG-ALG,Arrived
2022-03-29 14:35:00,AH,6257,CZL,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,CZL-ALG,Arrived
2022-03-29 12:00:00,SF,1402,ALG,KRECHBA,1,Departure,2022-03-29,OFB,Departed,2022-03-29,12,1,False,ALG-KRECHBA,Departed
2022-03-29 16:50:00,AH,1011,ORY,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,16,1,False,ORY-ALG,Arrived
2022-03-29 14:40:00,AH,2055,LHR,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,LHR-ALG,Arrived
2022-03-29 17:00:00,AH,1001,CDG,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,17,1,False,CDG-ALG,Arrived
2022-03-29 16:05:00,SF,2221,ORN,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,16,1,False,ORN-ALG,Arrived
2022-03-29 09:35:00,AH,6201,GHA,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,9,1,False,GHA-ALG,Arrived
2022-03-29 17:50:00,AH,6193,CZL,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,17,1,False,CZL-ALG,Arrived
2022-03-29 11:05:00,AH,6191,CZL,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,11,1,False,CZL-ALG,Arrived
2022-03-29 18:35:00,AH,6253,ELU,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,18,1,False,ELU-ALG,Arrived
2022-03-29 17:45:00,AH,6171,AAE,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,17,1,False,AAE-ALG,Arrived
2022-03-29 15:25:00,AH,6141,AZR,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,15,1,False,AZR-ALG,Arrived
2022-03-29 11:05:00,AH,6107,ORN,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,11,1,False,ORN-ALG,Arrived
2022-03-29 09:10:00,AH,6007,AAE,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,9,1,False,AAE-ALG,Arrived
2022-03-29 11:45:00,AH,6177,AAE,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,11,1,False,AAE-ALG,Arrived
2022-03-29 18:25:00,AH,6149,TIN,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,18,1,False,TIN-ALG,Arrived
2022-03-29 16:30:00,AH,6477,EBH,ALG,1,Arrival,2022-03-29,DX,Cancelled,2022-03-29,16,1,False,EBH-ALG,Cancelled
2022-03-29 09:15:00,AH,6223,HME,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,9,1,False,HME-ALG,Arrived
2022-03-29 18:25:00,AH,6217,OGX,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,18,1,False,OGX-ALG,Arrived
2022-03-29 13:30:00,AH,6181,ORN,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,13,1,False,ORN-ALG,Arrived
2022-03-29 19:25:00,AH,6151,CBH,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,19,1,False,CBH-ALG,Arrived
2022-03-29 14:05:00,AH,6033,TEE,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,TEE-ALG,Arrived
2022-03-29 17:50:00,AH,6237,GHA,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,17,1,False,GHA-ALG,Arrived
2022-03-29 17:05:00,SF,1919,HME,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,17,1,False,HME-ALG,Arrived
2022-03-29 14:05:00,AH,6057,GJL,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,GJL-ALG,Arrived
2022-03-29 18:37:00,AH,6185,ORN,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,18,1,False,ORN-ALG,Arrived
2022-03-29 09:50:00,SF,2110,ALG,CZL,1,Departure,2022-03-29,DX,Cancelled,2022-03-29,9,1,False,ALG-CZL,Cancelled
2022-03-28 09:10:00,AH,6027,CZL,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,9,0,False,CZL-ALG,Arrived
2022-03-28 15:30:00,AH,6071,LOO,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,15,0,False,LOO-ALG,Arrived
2022-03-28 15:40:00,AH,6041,BSK,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,15,0,False,BSK-ALG,Arrived
2022-03-28 17:30:00,AH,6231,TMR,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,17,0,False,TMR-ALG,Arrived
2022-03-29 14:30:00,TU,374,TUN,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,TUN-ALG,Arrived
2022-03-29 16:00:00,TU,375,ALG,TUN,1,Departure,2022-03-29,OFB,Departed,2022-03-29,16,1,False,ALG-TUN,Departed
2022-03-29 14:23:00,EK,757,DXB,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,DXB-ALG,Arrived
2022-03-29 17:20:00,EK,758,ALG,DXB,1,Departure,2022-03-29,OFB,Departed,2022-03-29,17,1,False,ALG-DXB,Departed
2022-03-29 11:21:00,AF,4144,CDG,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,11,1,False,CDG-ALG,Arrived
2022-03-29 13:05:00,AF,4145,ALG,CDG,4,Departure,2022-03-29,OFB,Departed,2022-03-29,13,1,False,ALG-CDG,Departed
