airline,route,airline_route,is_domestic,total_flights,Cancelled,Delayed,OnTime,ontime_rate,delayed_rate,cancelled_rate,cluster
AH,ALG-DJG,AH_ALG-DJG,False,604,3,56,545,90.23178807947019,9.271523178807946,0.49668874172185434,1
AH,ALG-DLA,AH_ALG-DLA,False,123,0,14,109,88.6178861788618,11.38211382113821,0.0,1
AH,ALG-DOH,AH_ALG-DOH,False,220,20,1,199,90.45454545454545,0.45454545454545453,9.090909090909092,1
AH,ALG-DSS,AH_ALG-DSS,False,460,7,31,422,91.73913043478261,6.739130434782608,1.5217391304347827,1
AH,ALG-DXB,AH_ALG-DXB,False,565,14,84,467,82.65486725663716,14.867256637168142,2.47787610619469,1
AH,ALG-EBH,AH_ALG-EBH,False,234,27,8,199,85.04273504273505,3.418803418803419,11.538461538461538,1
AH,ALG-ELG,AH_ALG-ELG,False,391,7,7,377,96.41943734015345,1.7902813299232736,1.7902813299232736,0
AH,ALG-ELU,AH_ALG-ELU,False,1004,15,14,975,97.11155378486056,1.394422310756972,1.4940239043824701,0
AH,ALG-ETZ,AH_ALG-ETZ,False,315,2,3,310,98.4126984126984,0.9523809523809524,0.6349206349206349,0
AH,ALG-FCO,AH_ALG-FCO,False,406,1,0,405,99.75369458128078,0.0,0.24630541871921183,0
AH,ALG-FRA,AH_ALG-FRA,False,370,1,8,361,97.56756756756756,2.1621621621621623,0.2702702702702703,0
AH,ALG-GHA,AH_ALG-GHA,False,1010,12,46,952,94.25742574257426,4.554455445544554,1.188118811881188,0
AH,ALG-GJL,AH_ALG-GJL,False,1111,21,17,1073,96.57965796579659,1.5301530153015301,1.8901890189018902,0
AH,ALG-GVA,AH_ALG-GVA,False,391,1,2,388,99.23273657289002,0.5115089514066496,0.2557544757033248,0
AH,ALG-HME,AH_ALG-HME,False,1453,36,52,1365,93.94356503785272,3.5788024776324847,2.477632484514797,0
AH,ALG-IAM,AH_ALG-IAM,False,255,4,13,238,93.33333333333333,5.098039215686274,1.5686274509803921,0
AH,ALG-INZ,AH_ALG-INZ,False,241,3,16,222,92.11618257261411,6.639004149377594,1.2448132780082988,1
AH,ALG-IST,AH_ALG-IST,False,1853,23,103,1727,93.20021586616298,5.5585536967080404,1.24123043712898,0
AH,ALG-JED,AH_ALG-JED,False,415,4,29,382,92.04819277108433,6.987951807228916,0.9638554216867471,1
AH,ALG-JNB,AH_ALG-JNB,False,67,8,0,59,88.05970149253731,0.0,11.940298507462686,1
AH,ALG-LHR,AH_ALG-LHR,False,484,3,7,474,97.93388429752066,1.4462809917355373,0.6198347107438017,0
AH,ALG-LIL,AH_ALG-LIL,False,477,1,5,471,98.74213836477988,1.0482180293501049,0.20964360587002098,0
AH,ALG-LIS,AH_ALG-LIS,False,154,3,2,149,96.75324675324676,1.2987012987012987,1.948051948051948,0
AH,ALG-LOO,AH_ALG-LOO,False,413,22,6,385,93.22033898305084,1.4527845036319613,5.326876513317192,0
AH,ALG-LYS,AH_ALG-LYS,False,1064,14,19,1031,96.8984962406015,1.7857142857142856,1.3157894736842104,0
AH,ALG-MAD,AH_ALG-MAD,False,160,4,9,147,91.875,5.625,2.5,1
AH,ALG-MED,AH_ALG-MED,False,405,4,40,361,89.13580246913581,9.876543209876543,0.9876543209876543,1
AH,ALG-MLH,AH_ALG-MLH,False,143,0,4,139,97.2027972027972,2.797202797202797,0.0,0
AH,ALG-MPL,AH_ALG-MPL,False,229,2,2,225,98.2532751091703,0.8733624454148471,0.8733624454148471,0
AH,ALG-MRS,AH_ALG-MRS,False,1738,29,37,1672,96.20253164556962,2.128883774453395,1.668584579976985,0
AH,ALG-MXP,AH_ALG-MXP,False,265,3,1,261,98.49056603773585,0.37735849056603776,1.1320754716981132,0
AH,ALG-MZW,AH_ALG-MZW,False,118,13,3,102,86.4406779661017,2.5423728813559325,11.016949152542372,1
AH,ALG-NCE,AH_ALG-NCE,False,388,3,3,382,98.4536082474227,0.7731958762886598,0.7731958762886598,0
AH,ALG-NIM,AH_ALG-NIM,False,146,4,14,128,87.67123287671232,9.58904109589041,2.73972602739726,1
AH,ALG-NKC,AH_ALG-NKC,False,270,1,18,251,92.96296296296296,6.666666666666667,0.3703703703703704,0
AH,ALG-OGX,AH_ALG-OGX,False,1168,26,46,1096,93.83561643835617,3.9383561643835616,2.2260273972602738,0
