Operation time,Airline,Flight Num,Departure Airport,Arrival Airport ,Terminal,Departure / Arrival ,Origin Date,CodeContext
2024-05-27 17:26:00,AH,1021,MRS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 20:33:00,AH,1033,LYS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 18:17:00,AH,1041,NCE,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 17:31:00,AH,4039,CAI,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 18:03:00,AH,3017,IST,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 8:50:00,AH,1009,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 21:25:00,AH,1007,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 15:35:00,AH,1011,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 13:47:00,AH,1023,MRS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 17:34:00,AH,1001,CDG,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 18:15:00,AH,1005,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 13:24:00,AH,1045,TLS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 17:55:00,AH,1075,LIL,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 19:32:00,AH,1215,CDG,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 8:30:00,AH,4038,ALG,CAI,4,Departure,2024-05-27,OFB
2024-05-27 18:45:00,AH,3014,ALG,IST,4,Departure,2024-05-27,OFB
2024-05-27 16:50:00,AH,4002,ALG,TUN,4,Departure,2024-05-27,OFB
2024-05-27 19:00:00,AH,6006,ALG,AAE,1,Departure,2024-05-27,OFB
2024-05-27 10:20:00,AH,6140,ALG,AZR,1,Departure,2024-05-27,OFB
2024-05-27 6:04:00,AH,5011,DSS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 14:43:00,AH,4063,DXB,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 6:30:00,AH,5319,ABJ,ALG,4,Arrival,2024-05-27,SCT
2024-05-27 15:10:00,AH,6305,OGX,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 8:57:00,AH,6223,HME,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 13:30:00,AH,1003,CDG,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 10:30:00,AH,1000,ALG,CDG,4,Departure,2024-05-27,OFB
2024-05-27 12:00:00,AH,1004,ALG,ORY,4,Departure,2024-05-27,OFB
2024-05-27 21:15:00,AH,5010,ALG,DSS,4,Departure,2024-05-27,OFB
2024-05-27 20:00:00,AH,6026,ALG,CZL,1,Departure,2024-05-27,OFB
2024-05-27 11:45:00,AH,6176,ALG,AAE,1,Departure,2024-05-27,OFB
2024-05-27 12:10:00,AH,6192,ALG,CZL,1,Departure,2024-05-27,OFB
2024-05-27 20:53:00,AH,1025,MRS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 19:34:00,AH,1037,LYS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 15:35:00,AH,1217,ETZ,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 10:13:00,AH,1231,CDG,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 9:41:00,AH,6171,AAE,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 12:00:00,AH,6032,ALG,TEE,1,Departure,2024-05-27,OFB
2024-05-27 10:45:00,AH,6038,ALG,BLJ,1,Departure,2024-05-27,GCL
2024-05-27 15:10:00,AH,6040,ALG,BSK,1,Departure,2024-05-27,OFB
2024-05-27 7:00:00,AH,6056,ALG,GJL,1,Departure,2024-05-27,GCL
2024-05-27 10:00:00,AH,6070,ALG,LOO,1,Departure,2024-05-27,OFB
